college_code,college_name,course_code,course_name,seat_type,category,rank,percentile
2160,"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad",216004710,Urban Design,State Level,CAP,3244,0.0
2160,"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad",216004710,Urban Design,State Level,ARCH,0,0.0
3244,"Bharati Vidyapeeth's College of Architecture, Belapur, Navi Mumbai",324404910,Project Management,State Level,GOPENS,186,46.0
3244,"Bharati Vidyapeeth's College of Architecture, Belapur, Navi Mumbai",324404910,Project Management,State Level,GOBCS,209,44.0
3244,"Bharati Vidyapeeth's College of Architecture, Belapur, Navi Mumbai",324404910,Project Management,State Level,CAP,3245,0.0
3244,"Bharati Vidyapeeth's College of Architecture, Belapur, Navi Mumbai",324404910,Project Management,State Level,ARCH,0,0.0
3245,"Mahatma Education Society's Pillais College of Architecture, New Panvel",324504710,Urban Design,State Level,CAP,3246,0.0
3245,"Mahatma Education Society's Pillais College of Architecture, New Panvel",324504710,Urban Design,State Level,ARCH,0,0.0
3246,"Rizvi College of Architecture,Bandra(W), Mumbai",324604710,Urban Design,State Level,CAP,3247,0.0
3246,"Rizvi College of Architecture,Bandra(W), Mumbai",324604710,Urban Design,State Level,ARCH,0,0.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704610,Urban Conservation,State Level,CAP,3247,0.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704610,Urban Conservation,State Level,ARCH,0,0.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704710,Urban Design,State Level,GOPENS,25,62.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704710,Urban Design,State Level,GSCS,71,56.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704710,Urban Design,State Level,GOBCS,206,44.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704710,Urban Design,State Level,CAP,3248,0.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704710,Urban Design,State Level,ARCH,0,0.0
3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai",324804910,Project Management,State Level,GOPENS,138,50.0
3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai",324804910,Project Management,State Level,GSCS,194,46.0
3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai",324804910,Project Management,State Level,GOBCS,239,36.0
3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai",324804910,Project Management,State Level,CAP,3468,0.0
3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai",324804910,Project Management,State Level,ARCH,0,0.0
3468,"Aditya College of Architecture, Borivali (W), Mumbai",346804910,Project Management,State Level,CAP,3478,0.0
3468,"Aditya College of Architecture, Borivali (W), Mumbai",346804910,Project Management,State Level,ARCH,0,0.0
3478,"CTES College of Architecture, Chembur, Mumbai.",347804910,Project Management,State Level,CAP,4214,0.0
3478,"CTES College of Architecture, Chembur, Mumbai.",347804910,Project Management,State Level,ARCH,0,0.0
4214,"Smt. Manoramabai Mundle College of Architecture, Nagpur",421403210,Architecture,State Level,CAP,4214,0.0
4214,"Smt. Manoramabai Mundle College of Architecture, Nagpur",421403210,Architecture,State Level,ARCH,0,0.0
4214,"Smt. Manoramabai Mundle College of Architecture, Nagpur",421404710,Urban Design,State Level,CAP,4216,0.0
4214,"Smt. Manoramabai Mundle College of Architecture, Nagpur",421404710,Urban Design,State Level,ARCH,0,0.0
4216,"Lokmanya Tilak Jankalyan Shikshan Sanths's Priyadarshani Institute of Architecture and Design Studies, Nagpur",421604010,Landscape Architecture,State Level,CAP,4216,0.0
4216,"Lokmanya Tilak Jankalyan Shikshan Sanths's Priyadarshani Institute of Architecture and Design Studies, Nagpur",421604010,Landscape Architecture,State Level,ARCH,0,0.0
4216,"Lokmanya Tilak Jankalyan Shikshan Sanths's Priyadarshani Institute of Architecture and Design Studies, Nagpur",421659410,Industrial Design,State Level,CAP,4218,0.0
4216,"Lokmanya Tilak Jankalyan Shikshan Sanths's Priyadarshani Institute of Architecture and Design Studies, Nagpur",421659410,Industrial Design,State Level,ARCH,0,0.0
4218,"Swa. Jagannath Jattewar Shikshan Sanstha's, IDEAS- Institute of Design Education & Architectural studies, Nagpur",421803710,Environmental Architecture,State Level,CAP,5158,0.0
4218,"Swa. Jagannath Jattewar Shikshan Sanstha's, IDEAS- Institute of Design Education & Architectural studies, Nagpur",421803710,Environmental Architecture,State Level,ARCH,0,0.0
5158,"Maratha Vidya Prasarak Samaj's Sharadchandraji Pawar College of Architecture, Nashik.",515803710,Environmental Architecture,State Level,CAP,6261,0.0
5158,"Maratha Vidya Prasarak Samaj's Sharadchandraji Pawar College of Architecture, Nashik.",515803710,Environmental Architecture,State Level,ARCH,0,0.0
